Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2019
Guinea-Bissau,3000 ,2600 , 3400,2900 ,2500 , 3300,2800 ,2400 , 3200,2700 ,2200 , 3100,2500 ,2100 , 2900,2500 ,2100 , 2900,2300 ,1900 , 2800,2200 ,1800 , 2600,2200 ,1800 , 2700,2100 ,1700 , 2600,-29
Guyana,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,-27
Haiti,9000 ,7900 , 10 000,8700 ,7500 , 9900,8300 ,7000 , 9700,7800 ,6500 , 9400,7500 ,6200 , 9200,7200 ,5800 , 8900,6900 ,5500 , 8600,6300 ,4800 , 8100,5800 ,4300 , 7600,5700 ,4200 , 7600,-37
Honduras,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,1000 ,<1000 , 1400,1100 ,<1000 , 1400,1100 ,<1000 , 1500,1100 ,<1000 , 1600,1100 ,<1000 , 1600,1100 ,<1000 , 1500,1100 ,<1000 , 1600,19
Hungary,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Iceland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Indonesia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Iran (Islamic Republic of),4800 ,2800 , 8600,4800 ,2500 , 9200,4700 ,2200 , 9600,4600 ,1900 , 10 000,4500 ,1700 , 11 000,4400 ,1600 , 11 000,4300 ,1400 , 11 000,4200 ,1300 , 12 000,4100 ,1200 , 12 000,4100 ,1200 , 12 000,-15
Ireland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
